Tm,Batter,vs,Pitcher,PA,AB,H,HR,XB,BB,K,AVG
MIN,Christian Vazquez,1,Burke,0,0,0,0,0,0,0,0
NYM,Pete Alonso,8,Gillispie,0,0,0,0,0,0,0,0
MIN,Willi Castro,4,Burke,0,0,0,0,0,0,0,0
BOS,Connor Wong,2,Eflin,9,9,0,0,0,0,1,0
PHI,J.T. Realmuto,-1,Freeland,11,11,3,0,2,0,2,0.273
NYM,Luis Torrens,4,Gillispie,0,0,0,0,0,0,0,0
SD,Manny Machado,8,Lively,3,3,0,0,0,0,0,0
ATH,Miguel Andujar,3,Taillon,0,0,0,0,0,0,0,0
LAD,Teoscar Hernandez,6,Elder,4,3,1,0,0,1,1,0.333
LAD,Will Smith,9,Elder,8,5,0,0,0,3,1,0
HOU,Isaac Paredes,4,Roupp,0,0,0,0,0,0,0,0
SD,Jackson Merrill,10,Lively,2,1,0,0,0,1,0,0
TEX,Marcus Semien,0,Greene,3,2,0,0,0,1,0,0
PHI,Nick Castellanos,8,Freeland,12,12,3,2,0,0,3,0.25
SF,Wilmer Flores,7,Valdez,5,5,0,0,0,0,0,0
CHW,Andrew Benintendi,6,Lopez,14,13,3,0,1,1,4,0.231
ATH,Brent Rooker,5,Taillon,0,0,0,0,0,0,0,0
TEX,Joc Pederson,-2,Greene,8,8,3,1,1,0,2,0.375
ATH,Lawrence Butler,6,Taillon,0,0,0,0,0,0,0,0
LAD,Mookie Betts,10,Elder,9,7,2,1,0,2,2,0.286
TOR,Myles Straw,-5,Gore,3,3,1,0,0,0,0,0.333
CHC,Nico Hoerner,7,Springs,1,1,0,0,0,0,1,0
BOS,Trevor Story,-4,Eflin,2,2,0,0,0,0,1,0
CHW,Jacob Amaya,-9,Lopez,0,0,0,0,0,0,0,0
HOU,Jake Meyers,-2,Roupp,0,0,0,0,0,0,0,0
ATH,Max Muncy,-8,Taillon,0,0,0,0,0,0,0,0
BOS,Rafael Devers,4,Eflin,11,11,2,0,2,0,4,0.182
BOS,Wilyer Abreu,5,Eflin,10,10,5,1,1,0,0,0.5
SD,Gavin Sheets,4,Lively,7,6,1,0,0,1,2,0.167
ATH,Gio Urshela,5,Taillon,4,3,1,0,0,1,0,0.333
PIT,Jack Suwinski,-2,Pepiot,4,3,1,0,1,1,1,0.333
KC,Jonathan India,7,Peralta,8,8,3,0,1,0,1,0.375
HOU,Jose Altuve,5,Roupp,0,0,0,0,0,0,0,0
PIT,Ke'Bryan Hayes,-1,Pepiot,4,4,1,0,0,0,0,0.25
LAD,Michael Conforto,7,Elder,0,0,0,0,0,0,0,0
CHW,Nick Maton,-5,Lopez,6,6,1,0,0,0,1,0.167
CHW,Travis Jankowski,-4,Lopez,3,3,3,0,0,0,0,1
